nombre,estado,latitud,longitud,pob_total,pob_masculina,pob_femenina
Cieneguita [Ejido],Aguascalientes,22.168588,-102.420346,15,6.0,9.0
Las Jarillas [Rancho],Aguascalientes,21.992866,-102.134186,55,32.0,23.0
El Zapote [Rancho],Aguascalientes,21.759586,-102.227864,9,,
Caldera,Aguascalientes,22.163664,-102.187718,436,215.0,221.0
Río Casa [Sociedad],Aguascalientes,22.08442,-102.082552,9,4.0,5.0
Gámez Orozco (Puerta de Carboneras) [Colonia],Aguascalientes,22.166407,-102.247515,254,129.0,125.0
El Bajío de los Campos,Aguascalientes,22.02401,-101.874607,122,64.0,58.0
Francisco Villa,Aguascalientes,22.085879,-101.969908,808,416.0,392.0
Pozo el Cuijal,Aguascalientes,22.236915,-102.221958,6,,
Puertecito de la Virgen,Aguascalientes,21.960149,-102.268992,2353,1182.0,1171.0
Fraternidad [Colonia],Aguascalientes,21.954079,-102.359788,106,64.0,42.0
El Lucero [Rancho],Aguascalientes,22.183531,-102.288508,7,,
San Antonio [Granja],Aguascalientes,22.226322,-102.270406,4,,
Pozo Francisco Guel Jiménez [Unidad Lechera],Aguascalientes,22.23761,-102.024604,6,3.0,3.0
Jardín  Palmeras,Aguascalientes,21.904104,-102.337724,9,,
San José [Granja],Aguascalientes,22.223457,-102.272808,3,,
El Berrinche,Aguascalientes,21.799625,-102.128489,4,,
Plan de San Ignacio,Aguascalientes,22.162474,-102.327211,6,,
El Sauz,Aguascalientes,21.881528,-102.615556,273,152.0,121.0
Potrerillos,Aguascalientes,22.229444,-102.406216,24,14.0,10.0
La Loma [Rancho],Aguascalientes,22.233003,-102.026421,25,13.0,12.0
Cieneguitas,Aguascalientes,21.895487,-102.426522,208,98.0,110.0
Santa Fe [Secadora],Aguascalientes,21.853982,-102.043788,2,,
San José de la Ordeña,Aguascalientes,21.951039,-102.154189,509,265.0,244.0
Interpec San Marcos,Aguascalientes,21.761588,-102.280501,12,5.0,7.0
San José del Bajío [Rancho],Aguascalientes,22.195919,-102.269907,2,,
La Escondida,Aguascalientes,21.974352,-102.585289,4,,
La Chaveña,Aguascalientes,22.004548,-102.315007,103,51.0,52.0
Pozo Número 18,Aguascalientes,22.162117,-102.301958,6,,
Los Ramírez,Aguascalientes,21.971016,-102.327284,811,421.0,390.0
El Molino,Aguascalientes,21.795412,-102.235268,33,19.0,14.0
Presa de los Serna,Aguascalientes,21.805974,-102.83956,654,315.0,339.0
Los Corales,Aguascalientes,21.847269,-102.360377,4,,
El Mezquite [Colonia],Aguascalientes,22.079818,-102.222468,141,65.0,76.0
Granja Margarita (Viñedos Aguascalientes),Aguascalientes,21.849281,-102.346659,6,,
Lomas del Soyatal,Aguascalientes,21.897068,-102.22521,22,12.0,10.0
El Paraíso,Aguascalientes,21.944013,-102.166189,11,,
El Cuartito (Jaime Castañeda Ávila),Aguascalientes,22.232963,-102.265194,5,,
Fazenda da Esperanza [Centro de Rehabilitación],Aguascalientes,22.202764,-102.314308,4,,
San Nicolás,Aguascalientes,21.853893,-102.699814,198,96.0,102.0
Las Cuchillas,Aguascalientes,22.065904,-102.235242,13,5.0,8.0
Las Cuatro Milpas,Aguascalientes,21.832126,-102.157629,9,4.0,5.0
El Nogal,Aguascalientes,22.174147,-102.286122,4,,
Los Jiménez,Aguascalientes,21.900265,-102.337006,2,,
El Pedernal Segundo,Aguascalientes,22.113806,-102.323849,59,29.0,30.0
Potrero de Villasana [Sociedad Cooperativa],Aguascalientes,22.235622,-102.30874,3,,
San Francisco de los Viveros,Aguascalientes,21.911797,-102.130333,285,137.0,148.0
El Rodeo,Aguascalientes,21.843596,-102.242169,96,50.0,46.0
San José de la Esperanza,Aguascalientes,21.792511,-102.348477,27,14.0,13.0
Los Barriales,Aguascalientes,21.973403,-101.946162,1,,
Ejido Hidalgo,Aguascalientes,22.294329,-102.036132,39,18.0,21.0
Licenciado Adolfo López Mateos,Aguascalientes,22.257987,-102.030643,323,166.0,157.0
Villa Su,Aguascalientes,21.74618,-102.279254,4,,
La Congoja,Aguascalientes,21.756121,-102.159207,6,,
Pueblo de las Nubes [Rancho],Aguascalientes,22.171604,-102.321872,4,,
La Primavera,Aguascalientes,21.849457,-102.350929,4,,
El Cotón [Rancho],Aguascalientes,21.925,-102.116,2,,
La Palmita,Aguascalientes,21.832418,-102.04437,3,,
Jaime Montañez [Rancho],Aguascalientes,22.172852,-102.035882,4,,
Familia Barajas,Baja California,32.61302,-115.271804,3,,
El Paraíso [Rancho],Baja California,31.687364,-116.534448,1,,
Familia Paredes,Baja California,30.623633,-115.947855,5,4.0,1.0
Rancho Asunción,Baja California,31.297704,-116.223481,2,,
Sexta de la Progreso (Ampliación Coronita),Baja California,32.541606,-115.526046,5,,
Baja Malibú,Baja California,32.417595,-117.095459,54,21.0,33.0
Parcela Número Cinco (Ejido Nuevo Mexicali),Baja California,30.555632,-115.930563,42,21.0,21.0
La Pilita,Baja California,30.454167,-115.331142,7,,
El Manantial [Rancho],Baja California,32.330791,-116.609778,1,,
Los Pinos,Baja California,31.916154,-116.224303,1,,
Familia Hernández,Baja California,32.643586,-114.885133,1,,
Varela [Rancho],Baja California,32.426094,-116.91933,4,,
Martín Cuevas,Baja California,32.252789,-116.957464,1,,
Familia Villanueva,Baja California,32.528017,-114.983762,9,4.0,5.0
El Sauzalito,Baja California,30.94158,-115.945617,10,8.0,2.0
Familia Castro (Ejido Morelos),Baja California,32.616777,-114.907834,1,,
El Vado,Baja California,31.336249,-116.255604,25,11.0,14.0
Familia Munguía,Baja California,30.539329,-115.95577,1,,
Las Moras,Baja California,32.309735,-117.026917,2,,
Gustavo Salgado,Baja California,31.790135,-116.56714,19,12.0,7.0
Familia Sacramento Guillén,Baja California,32.447943,-115.285493,3,,
Parcela Diez (Ejido Nacionalista),Baja California,31.765129,-116.574913,2,,
Valle Dorado,Baja California,32.416204,-116.950471,34,17.0,17.0
Las Palmitas,Baja California,32.595017,-116.376219,3,,
El Poste,Baja California,31.936478,-116.261123,11,7.0,4.0
El Refugio,Baja California,32.460471,-116.814434,151,79.0,72.0
Las Alturas,Baja California,32.53379,-116.485543,3,,
Aguaje de Mariano,Baja California,32.195571,-116.887312,2,,
El Mirador,Baja California,31.347573,-116.431906,2,,
Familia León Arroyo,Baja California,32.16771,-115.102186,1,,
Familia Roque Contreras (Colonia Silva),Baja California,32.400091,-115.009576,265,144.0,121.0
Rancho Verde (Tlaxcala Dos),Baja California,32.379781,-115.086502,13,6.0,7.0
El Catorce,Baja California,31.921013,-116.234583,9,,
Familia Olivo,Baja California,31.766024,-116.567262,9,,
Colegio San Felipe de Jesús,Baja California,31.051022,-114.866122,3,,
Familia Cuéllar,Baja California,32.534202,-116.76038,4,,
Familia Romo (Parcela Setenta y Ocho Ejido Sonora 2),Baja California,32.295334,-115.162912,5,,
Nuevo Engorda [Rancho],Baja California,32.438332,-115.105437,12,4.0,8.0
Familia Vélez,Baja California,32.022388,-116.645134,3,,
Familia Luna Ramírez (Ejido Sonora),Baja California,32.307623,-115.191039,1,,
Rancho Bahía,Baja California,31.761762,-116.567192,2,,
Los Alasanes,Baja California,32.040731,-116.642227,2,,
Familia Núñez García (Colonia Chaussé),Baja California,32.282866,-115.042413,2,,
Familia Villagrana (Ejido Chiapas),Baja California,32.480084,-114.97491,6,,
Viera [Rancho],Baja California,32.463576,-116.789201,1,,
La Puertita,Baja California,32.545612,-116.674638,4,,
Familia Peñuelas (Colonia Baja California),Baja California,32.221615,-115.097903,2,,
Cabrera [Rancho],Baja California,31.638809,-116.439019,8,5.0,3.0
Rancho Cañón Buena Vista (El Zorrillo),Baja California,31.671088,-116.514012,8522,4297.0,4225.0
La Fonda de Dalila,Baja California,32.005997,-116.677803,5,,
Familia Cornejo,Baja California,32.5676,-116.423695,7,4.0,3.0
Familia Morán,Baja California,32.151491,-115.003355,4,,
Álvarez,Baja California,32.285833,-116.532826,6,,
El Canutillo [Hacienda],Baja California,32.291708,-116.541926,3,,
Las Joyitas,Baja California,31.956275,-116.260049,6,,
Los Laureles,Baja California,32.516805,-116.622903,116,61.0,55.0
Familia Regalado (Campos Nuevos Ejido Sonora 2),Baja California,32.292446,-115.169371,2,,
Los Treviño,Baja California,32.523851,-116.704946,5,,
El Toro,Baja California,32.348678,-116.970815,30,19.0,11.0
Paseo de San Quintín,Baja California,30.514905,-115.912563,1413,679.0,734.0
Ejido Otilio Montaño,Baja California,32.436681,-115.27489,29,15.0,14.0
Gilbert (Valle de las Palmas),Baja California,32.409438,-116.67659,1,,
Roberto Yahuaca,Baja California,32.48642,-117.101221,1232,632.0,600.0
Los Olivos,Baja California,31.681648,-116.515144,1,,
La Pérgola,Baja California,32.561314,-115.804824,2,,
Chula Vista,Baja California,31.64239,-116.522159,6,,
Familia Gerardo Ponce (Colonia Ahumadita),Baja California,32.544566,-115.485634,21,13.0,8.0
Familia Sauceda (Ejido Tehuantepec),Baja California,32.536847,-115.022782,4,,
Familia Maldonado,Baja California,32.629582,-115.28295,3,,
Campo Jiménez,Baja California,30.627902,-114.697816,2,,
Familia Guzmán,Baja California,32.560927,-114.840044,6,,
Familia Saldaña (Ejido Tabasco),Baja California,32.550618,-114.886183,5,,
Los Viejitos,Baja California,32.551364,-116.407974,2,,
Viva Sol [Rancho],Baja California,31.980401,-116.637184,7,,
Rancho Carmelo,Baja California,32.343317,-115.972727,1,,
Los Hurtado (Colonia Nueva Paredones),Baja California,32.619656,-114.930054,1,,
Los Tres Hermanos Sabin,Baja California,31.565132,-116.455266,2,,
Real del Castillo Nuevo (Ojos Negros),Baja California,31.910091,-116.270996,2707,1365.0,1342.0
Ejido Francisco Sarco,Baja California,32.043418,-116.646222,11,5.0,6.0
Familia García,Baja California,32.195976,-115.271376,2,,
Jardines del Rincón,Baja California,32.592006,-116.32819,216,122.0,94.0
Familia Nuño,Baja California,32.626614,-115.032195,16,8.0,8.0
Rancho Moreno (Ejido Nacionalista),Baja California,31.765361,-116.564665,4,,
Emiliano Zapata,Baja California,30.76794,-116.007562,9636,4844.0,4792.0
Rancho Chapala,Baja California,29.375434,-114.374611,5,,
El Zorro,Baja California,31.867368,-116.522314,2,,
Rancho Zavala,Baja California,31.969939,-116.644395,1,,
Rancho Martínez,Baja California,32.525753,-116.411484,2,,
Baja Malibú (Campo Turístico),Baja California,32.422728,-117.089251,551,277.0,274.0
Familia Chávez,Baja California,32.020756,-116.66188,4,,
Familia Hernández (Ejido Campeche),Baja California,32.545232,-114.978194,4,,
El Corral,Baja California,32.490642,-116.551673,2,,
Ambriz Cornejo [Rancho],Baja California,32.398833,-115.0674,2,,
El Diamante [Rancho],Baja California,32.375209,-116.569406,5,,
Zervec [Rancho],Baja California,30.551592,-115.898943,1,,
Los Tres Potrillos [Rancho],Baja California,32.51969,-116.776033,2,,
Parcela Quince,Baja California,31.573309,-116.464048,3,,
Familia Rodríguez,Baja California,32.46868,-116.800418,1,,
Familia Cárdenas,Baja California,31.033645,-114.865188,4,,
El Milagro,Baja California,31.450418,-115.868665,1,,
San Miguel el Grande,Baja California Sur,23.474651,-110.214763,22,,
Rancho Nuevo,Baja California Sur,26.582401,-112.126639,4,,
San Vicente,Baja California Sur,25.431752,-112.066812,1,,
El Venero,Baja California Sur,23.912575,-110.070973,1,,
San Juan de Matancitas,Baja California Sur,25.12985,-111.468439,1,,
La Purísima (Los Pinos),Baja California Sur,25.455669,-111.882122,7,,
Punta del Cerro,Baja California Sur,24.624939,-111.075439,3,,
El Palmar de Enmedio,Baja California Sur,23.652709,-110.289774,5,,
El Sauzalito,Baja California Sur,26.339128,-112.143748,4,,
El Norte,Baja California Sur,27.148775,-112.219711,1,,
El Colorín,Baja California Sur,26.323194,-111.9595,3,,
San Blas,Baja California Sur,24.788573,-111.145334,3,,
San Pedro de la Presa,Baja California Sur,24.848021,-110.993767,27,16.0,11.0
Buenos Aires Lote 24,Baja California Sur,25.29229,-111.699399,1,,
Mi Viejo San Juan,Baja California Sur,23.424927,-109.45414,6,,
San Rafael de los Inocentes,Baja California Sur,23.770474,-110.671714,1,,
El Saltito,Baja California Sur,26.964854,-112.523272,7,,
Rancho el Abrevadero,Baja California Sur,25.156956,-111.526545,2,,
El Bethel,Baja California Sur,24.070434,-110.413963,28,18.0,10.0
El Mezquitito,Baja California Sur,24.095372,-110.300334,3,,
El Moro,Baja California Sur,23.120789,-109.992212,4,,
Rancho Teresita,Baja California Sur,23.491756,-110.208431,2,,
Los Queleles,Baja California Sur,24.812658,-110.842979,10,5.0,5.0
Las Casitas,Baja California Sur,23.949347,-109.937161,4,,
El Tablón,Baja California Sur,27.608096,-113.339399,5,,
San Guillermo,Baja California Sur,25.937226,-111.595504,1,,
Crucero del Pacífico,Baja California Sur,27.329438,-113.117195,1,,
San Francisco,Baja California Sur,27.644699,-113.419264,1919,1010.0,909.0
Heroica Mulegé,Baja California Sur,26.891565,-111.981401,3834,1968.0,1866.0
San José de la Noria,Baja California Sur,25.405681,-111.114401,61,34.0,27.0
Nueva California Lote 72,Baja California Sur,25.146772,-111.766686,1,,
El Cerival,Baja California Sur,26.548969,-112.111973,2,,
Villa Ignacio Zaragoza,Baja California Sur,25.397045,-111.842921,1304,666.0,638.0
San Agustín,Baja California Sur,24.294162,-110.249146,3,,
San Patricio,Baja California Sur,23.903311,-109.907529,1,,
María Auxiliadora Lote 7-A,Baja California Sur,25.430434,-111.876967,3,,
El Salto,Baja California Sur,26.162,-112.130049,2,,
Fierro Encinas Dos Lote 5,Baja California Sur,25.30609,-111.778639,2,,
El Tastesito,Baja California Sur,27.012436,-112.416059,5,,
San Juan,Baja California Sur,23.353158,-109.699451,6,,
La Vinatería,Baja California Sur,23.078455,-109.901966,4,,
Punta Ballena,Baja California Sur,26.072942,-111.319062,2,,
Santa Brígida,Baja California Sur,27.219191,-112.87749,1,,
El Cincuentaidós,Baja California Sur,24.821501,-112.085392,2,,
Rancho Nuevo,Baja California Sur,27.66799,-113.597808,3,,
Gustavo Díaz Ordaz Segunda Etapa,Baja California Sur,27.743205,-113.494489,6,,
La Huerta de la Cueva,Baja California Sur,26.703384,-112.310882,2,,
Salvatierra Lote 23,Baja California Sur,25.081166,-111.680705,4,,
Agua Amarga Dos,Baja California Sur,25.579471,-111.366387,2,,
San José de la Palmilla,Baja California Sur,24.810152,-111.214927,16,5.0,11.0
La Muñeca,Baja California Sur,26.04543,-111.759567,2,,
Las Cabras,Baja California Sur,23.447506,-109.750051,13,6.0,7.0
La Esperanza,Baja California Sur,26.022184,-111.764463,2,,
El Sacrificio,Baja California Sur,24.173099,-110.237995,3,,
La Mascota,Baja California Sur,25.320002,-111.794956,3,,
Las Palmas,Baja California Sur,23.166414,-109.97515,3,,
El Saucito,Baja California Sur,23.644864,-110.075226,7,4.0,3.0
El Coyote,Baja California Sur,23.334782,-109.704053,20,13.0,7.0
Bola de Fuego,Baja California Sur,24.056419,-110.391853,1,,
Ninguno,Baja California Sur,23.181272,-109.775177,2,,
La Palmilla,Baja California Sur,23.698726,-109.99469,2,,
El Paraíso,Baja California Sur,27.636942,-113.441791,11,,
Cuitláhuac Lote 24,Baja California Sur,25.083897,-111.721052,1,,
Los Guayabos,Baja California Sur,24.098414,-110.343439,10,,
El Salto de Bair,Baja California Sur,24.484231,-110.958574,2,,
Las Albóndigas,Baja California Sur,23.310237,-110.077585,2,,
Santo Domingo,Baja California Sur,26.707102,-112.497093,6,,
El Aguajito,Baja California Sur,23.76375,-110.129643,2,,
El Guayparín,Baja California Sur,23.550476,-109.843029,2,,
Lomas Altas,Baja California Sur,26.061266,-111.371779,5,,
Santa Rana,Baja California Sur,23.775839,-110.253768,3,,
El Encino Gacho,Baja California Sur,23.159906,-109.680811,19,9.0,10.0
Las Flores,Baja California Sur,24.099036,-110.3409,12,7.0,5.0
Belisario Domínguez,Baja California Sur,27.547575,-113.622922,1,,
Los Santitos,Baja California Sur,27.587063,-114.606669,4,,
San José,Baja California Sur,25.413689,-111.906075,3,,
La Escondida,Baja California Sur,23.99832,-110.155744,2,,
El Datilar,Baja California Sur,23.346612,-109.601071,2,,
La Ilusión,Baja California Sur,25.78274,-111.464498,2,,
San José de Guajademí,Baja California Sur,26.38461,-112.163224,9,4.0,5.0
La Higuerita,Baja California Sur,26.469471,-112.423253,2,,
La Bajada del Molino,Baja California Sur,23.718408,-110.162402,1,,
La Soledad,Baja California Sur,23.143141,-110.000772,3,,
El Alteño,Baja California Sur,23.637098,-110.269644,8,,
San Luis,Baja California Sur,23.486249,-110.211366,3,,
Palo Verde,Baja California Sur,27.030949,-112.082136,193,104.0,89.0
Magisterial (Rancho Ocampo),Baja California Sur,24.934987,-111.722747,2,,
Las Pilas,Baja California Sur,24.475204,-111.025536,6,,
El Comitán,Baja California Sur,24.132379,-110.423638,87,47.0,40.0
Las Delicias,Baja California Sur,23.642431,-110.219331,3,,
Las Vinoramitas,Baja California Sur,23.256846,-110.034326,3,,
San Gregorio,Baja California Sur,27.677486,-113.018363,10,,
Navojoa Uno Lote 7,Baja California Sur,25.258275,-111.817319,2,,
San Bartolo,Baja California Sur,24.589181,-111.085669,7,,
Kilómetro Ciento Diecisiete,Baja California Sur,24.424318,-111.140015,3,,
Texcalama,Baja California Sur,23.449488,-110.062269,18,12.0,6.0
El Oasis,Baja California Sur,23.080043,-109.701883,2,,
Las Tinajas de Orantes,Baja California Sur,24.767476,-111.114268,2,,
San Antonio [Lonchería],Baja California Sur,24.454309,-111.179041,3,,
La Chacuaca,Baja California Sur,23.909557,-109.934743,4,,
El Dame,Chihuahua,29.945065,-106.981847,4,,
Oscar Gutiérrez [Rancho],Chihuahua,28.772665,-106.939987,4,,
Agua Caliente de Tomochi,Chihuahua,28.35101,-107.971605,31,19.0,12.0
Cerro Prieto,Chihuahua,27.703233,-108.156403,21,7.0,14.0
Ninguno [José Luis González],Chihuahua,28.248623,-105.353518,6,,
Luz Alba,Chihuahua,31.322553,-106.571931,1,,
El Sauco,Chihuahua,28.855615,-105.296824,2,,
Campo Noventa y Uno,Chihuahua,29.072845,-106.788251,67,38.0,29.0
Tres Papalotes,Chihuahua,31.459833,-107.696409,3,,
Los Alegres de Terán,Chihuahua,28.459807,-105.674853,14,8.0,6.0
Punta del Cordón,Chihuahua,26.628905,-107.840036,3,,
Rancho el Picachito,Chihuahua,29.076114,-107.396472,4,,
La Escondida [Balneario],Chihuahua,27.630899,-105.266524,4,,
Chiqueritos,Chihuahua,25.886224,-106.935786,36,20.0,16.0
El Milagro,Chihuahua,30.27186,-107.959727,4,,
Los Reyes [Servi Agro],Chihuahua,31.414278,-106.143339,14,7.0,7.0
La Joya,Chihuahua,28.033229,-108.322197,22,13.0,9.0
Picachos,Chihuahua,26.684342,-106.714508,69,40.0,29.0
Las Gardenias (El Pino),Chihuahua,26.899157,-105.609343,2,,
Aquibachi,Chihuahua,27.221679,-107.5022,22,8.0,14.0
Matarazo (Guigimachi),Chihuahua,27.660832,-107.956765,4,2.0,2.0
San Miguel de Ortíz,Chihuahua,28.668725,-107.598352,53,29.0,24.0
Humira,Chihuahua,27.665435,-107.877188,6,2.0,4.0
Trincheras,Chihuahua,28.735112,-104.011671,1,,
La Rinconada,Chihuahua,27.960509,-106.131068,2,,
La Noria (San Isidro),Chihuahua,28.364153,-106.189187,187,94.0,93.0
La Grullita,Chihuahua,28.65481,-107.044353,3,,
La Caña,Chihuahua,27.741218,-108.768164,6,,
El Arroyo,Chihuahua,26.423088,-106.927011,1,,
Las Norias,Chihuahua,28.578195,-106.050997,3,,
La Mesa,Chihuahua,27.971277,-108.328321,6,,
Santa María,Chihuahua,28.258511,-105.433508,3,,
El Sauz (Los Solís),Chihuahua,28.393439,-107.216306,5,2.0,3.0
Los Girasoles,Chihuahua,28.348511,-105.527571,2,,
La Paloma,Chihuahua,27.73608,-105.194414,3,,
Don Manuel,Chihuahua,28.192225,-105.504212,3,,
California,Chihuahua,26.391409,-106.731875,23,13.0,10.0
La Providencia,Chihuahua,25.837826,-106.606426,31,13.0,18.0
La Boquilla,Chihuahua,30.677836,-108.445059,4,,
Los Migueles,Chihuahua,27.10336,-107.647791,5,,
El Ranchito,Chihuahua,29.325506,-108.503565,5,,
Tigre de San Rafael (Rincón del Tigre),Chihuahua,26.147996,-107.263404,194,94.0,100.0
Rancho el Puente,Chihuahua,28.760683,-106.926731,3,,
Abdenago C. García (Lagunitas),Chihuahua,29.992741,-107.553302,2504,1264.0,1240.0
La Boquilla,Chihuahua,28.48828,-105.454515,192,97.0,95.0
El Salto,Chihuahua,26.391688,-106.912484,10,,
El Aguajito,Chihuahua,26.805744,-107.453781,3,,
Rapichique,Chihuahua,27.52322,-107.54691,1,,
La Artesa,Chihuahua,28.695726,-108.28774,1,,
Hermanos Muñoz,Chihuahua,27.309969,-105.179223,1,,
El Solito,Chihuahua,29.816544,-106.823644,2,,
Los Martínez,Chihuahua,27.974535,-105.269395,10,6.0,4.0
Tierras Nuevas,Chihuahua,30.19335,-107.635938,1,,
Tónachi,Chihuahua,28.214296,-108.116926,4,,
Santa Fe,Chihuahua,28.802295,-104.466674,3,,
Las Delicias (Rancho Caro),Chihuahua,27.038562,-106.141804,9,5.0,4.0
Hacienda el Refugio,Chihuahua,30.336314,-107.945222,2,,
Tepochique,Chihuahua,27.492592,-108.393726,51,29.0,22.0
San Isidro,Chihuahua,28.145764,-105.442944,6,,
Ejido el Centauro (El Centauro),Chihuahua,28.935676,-107.46793,126,66.0,60.0
El Terrero,Chihuahua,28.194436,-106.111406,25,9.0,16.0
Cerro Solo,Chihuahua,25.927466,-106.777684,28,18.0,10.0
El Cable,Chihuahua,28.085775,-108.282924,4,,
Sopetare,Chihuahua,27.685472,-107.846752,6,3.0,3.0
La Mesa del Oso,Chihuahua,25.861929,-106.950661,57,30.0,27.0
Rancho los Nogales,Chihuahua,31.597114,-106.594303,1,,
Bajío del Tascatito,Chihuahua,26.751244,-107.153686,12,8.0,4.0
La Tripa,Chihuahua,28.277736,-105.500306,1,,
Rancho de Salas,Chihuahua,28.575,-105.951389,1,,
Las Cuevas,Chihuahua,28.087915,-108.336909,3,,
Alisitos,Chihuahua,25.924475,-107.170958,19,10.0,9.0
El Zoco,Chihuahua,27.686628,-106.276127,2,,
Rincón del Pleito,Chihuahua,26.746519,-107.72619,44,25.0,19.0
Ampliación el Sauce,Chihuahua,28.175254,-105.510915,14,10.0,4.0
San José,Chihuahua,26.96838,-106.619429,17,10.0,7.0
Puerto de Ánimas,Chihuahua,26.591729,-107.840594,27,14.0,13.0
El Durazno,Chihuahua,28.148802,-108.57243,2,,
El Porvenir (La Loma),Chihuahua,25.755344,-106.837402,27,16.0,11.0
La Capilla,Chihuahua,29.239644,-108.433656,1,,
Jalisco,Chihuahua,26.918168,-106.042166,17,10.0,7.0
La Aurora (Los Márquez),Chihuahua,28.042154,-105.336293,5,,
Algarrobal,Chihuahua,27.155873,-108.263888,13,6.0,7.0
Rojagapuchi,Chihuahua,27.662854,-107.387081,11,6.0,5.0
Rosanachi,Chihuahua,27.10307,-107.055227,8,5.0,3.0
Los Torres,Chihuahua,31.22936,-108.034586,1,,
Urichique,Chihuahua,27.864208,-107.524823,5,4.0,1.0
San Rafael,Chihuahua,25.975882,-107.186561,109,51.0,58.0
Las Cuevitas,Chihuahua,26.910669,-107.049529,7,4.0,3.0
Grupo Cuatro Ejido Nicolás Bravo,Chihuahua,26.548963,-104.584692,2,,
La Ventana,Chihuahua,26.712849,-107.316237,12,,
Calabacilla,Chihuahua,26.489856,-106.905377,51,27.0,24.0
San Vicente,Chihuahua,26.885687,-105.916897,14,9.0,5.0
El Ciprés,Chihuahua,25.742757,-106.843409,7,,
El Aguaje,Chihuahua,27.959046,-104.02869,1,,
La Bajadita,Chihuahua,28.863478,-106.203176,2,,
Sicurbe,Chihuahua,27.31044,-107.373861,4,,
Recomachi,Chihuahua,27.670849,-108.047794,8,2.0,6.0
El Madroño,Chihuahua,27.061157,-107.112048,15,7.0,8.0
Ojo de la Casa,Chihuahua,31.365018,-106.532758,17,10.0,7.0
La Mesa,Chihuahua,27.495682,-107.87169,4,,
La Florida (Ojo de Agua),Coahuila de Zaragoza,25.446017,-101.44587,68,37.0,31.0
La Rodaja,Coahuila de Zaragoza,28.094921,-100.543552,6,,
Antonio Coronado Morin,Coahuila de Zaragoza,25.473517,-101.289656,1,,
San Matías,Coahuila de Zaragoza,29.071919,-100.773464,4,3.0,1.0
El Cercado (El Perico),Coahuila de Zaragoza,25.603414,-103.385093,5,,
El Corona,Coahuila de Zaragoza,25.213226,-100.797067,4,,
La Sociedad (La Local),Coahuila de Zaragoza,25.458701,-103.148524,5,,
El Altamar,Coahuila de Zaragoza,25.250358,-100.408728,18,10.0,8.0
